,title,year,certification,runtime,genre,imdb_rating,metascore,plot,number_of_votes
351,6. Pride & Prejudice,2005,PG,2h 9m,Romance,7.8 (334K),82,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",(334K)
352,7. All of Us Strangers,2023,R,1h 45m,Romance,7.7 (53K),90,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,(53K)
353,8. The Princess Bride,1987,PG,1h 38m,Romance,8.0 (453K),78,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",(453K)
354,9. Good Will Hunting,1997,R,2h 6m,Romance,8.3 (1.1M),71,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",(1.1M)
355,10. About Time,2013,R,2h 3m,Romance,7.8 (391K),55,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",(391K)
356,11. Sense and Sensibility,1995,PG,2h 16m,Romance,7.7 (127K),84,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",(127K)
357,12. Past Lives,2023,PG-13,1h 45m,Romance,7.8 (123K),94,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",(123K)
358,13. Brokeback Mountain,2005,R,2h 14m,Romance,7.7 (386K),87,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,(386K)
359,14. La La Land,2016,PG-13,2h 8m,Romance,8.0 (680K),94,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",(680K)
360,15. Eternal Sunshine of the Spotless Mind,2004,R,1h 48m,Romance,8.3 (1.1M),89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",(1.1M)
361,16. Call Me by Your Name,2017,R,2h 12m,Romance,7.8 (320K),94,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",(320K)
362,17. Casablanca,1942,PG,1h 42m,Romance,8.5 (609K),100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,(609K)
363,18. Her,2013,R,2h 6m,Romance,8.0 (676K),91,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",(676K)
364,19. Blue Is the Warmest Colour,2013,NC-17,3h,Romance,7.7 (164K),90,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",(164K)
365,20. Little Women,2019,PG,2h 15m,Romance,7.8 (250K),91,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",(250K)
366,21. Shrek,2001,PG,1h 30m,Romance,7.9 (741K),84,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",(741K)
367,22. The Handmaiden,2016,Not Rated,2h 25m,Romance,8.1 (175K),85,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",(175K)
368,23. Edward Scissorhands,1990,PG-13,1h 45m,Romance,7.9 (527K),74,The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.,(527K)
369,24. 500 Days of Summer,2009,PG-13,1h 35m,Romance,7.7 (563K),76,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",(563K)
370,25. Atonement,2007,R,2h 3m,Romance,7.8 (302K),85,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,(302K)
371,1. Furiosa: A Mad Max Saga,2024,R,2h 28m,Sci-Fi,7.7 (116K),79,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,(116K)
372,2. Mad Max: Fury Road,2015,R,2h,Sci-Fi,8.1 (1.1M),90,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.",(1.1M)
373,3. Dune: Part Two,2024,PG-13,2h 46m,Sci-Fi,8.6 (465K),79,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,(465K)
374,4. Poor Things,2023,R,2h 21m,Sci-Fi,7.9 (281K),88,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",(281K)
375,5. Godzilla Minus One,2023,PG-13,2h 4m,Sci-Fi,7.7 (129K),81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",(129K)
376,6. Dune,2021,PG-13,2h 35m,Sci-Fi,8.0 (884K),74,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,(884K)
377,7. Interstellar,2014,PG-13,2h 49m,Sci-Fi,8.7 (2.1M),74,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",(2.1M)
